g_total,g_hinge,g_l1,d
"tf.Tensor(0.22721033, shape=(), dtype=float32)","tf.Tensor(-0.0015783694, shape=(), dtype=float32)","tf.Tensor(0.22878867, shape=(), dtype=float32)","tf.Tensor(0.99999434, shape=(), dtype=float32)"
"tf.Tensor(0.22649848, shape=(), dtype=float32)","tf.Tensor(-0.0015781457, shape=(), dtype=float32)","tf.Tensor(0.22807658, shape=(), dtype=float32)","tf.Tensor(0.999994, shape=(), dtype=float32)"
"tf.Tensor(0.22261521, shape=(), dtype=float32)","tf.Tensor(-0.0015785999, shape=(), dtype=float32)","tf.Tensor(0.22419378, shape=(), dtype=float32)","tf.Tensor(0.9999943, shape=(), dtype=float32)"
"tf.Tensor(0.2197068, shape=(), dtype=float32)","tf.Tensor(-0.0015800826, shape=(), dtype=float32)","tf.Tensor(0.22128727, shape=(), dtype=float32)","tf.Tensor(0.9999952, shape=(), dtype=float32)"
"tf.Tensor(0.21972105, shape=(), dtype=float32)","tf.Tensor(-0.0015796077, shape=(), dtype=float32)","tf.Tensor(0.22130065, shape=(), dtype=float32)","tf.Tensor(0.99999475, shape=(), dtype=float32)"
"tf.Tensor(0.21723409, shape=(), dtype=float32)","tf.Tensor(-0.0015798, shape=(), dtype=float32)","tf.Tensor(0.218814, shape=(), dtype=float32)","tf.Tensor(0.9999944, shape=(), dtype=float32)"
"tf.Tensor(0.21526848, shape=(), dtype=float32)","tf.Tensor(-0.0015805, shape=(), dtype=float32)","tf.Tensor(0.216849, shape=(), dtype=float32)","tf.Tensor(0.99999475, shape=(), dtype=float32)"
"tf.Tensor(0.21425445, shape=(), dtype=float32)","tf.Tensor(-0.001580976, shape=(), dtype=float32)","tf.Tensor(0.21583547, shape=(), dtype=float32)","tf.Tensor(0.9999952, shape=(), dtype=float32)"
"tf.Tensor(0.21288645, shape=(), dtype=float32)","tf.Tensor(-0.0015812255, shape=(), dtype=float32)","tf.Tensor(0.2144676, shape=(), dtype=float32)","tf.Tensor(0.99999493, shape=(), dtype=float32)"
"tf.Tensor(0.21173555, shape=(), dtype=float32)","tf.Tensor(-0.0015812243, shape=(), dtype=float32)","tf.Tensor(0.21331687, shape=(), dtype=float32)","tf.Tensor(0.99999475, shape=(), dtype=float32)"
"tf.Tensor(0.2107231, shape=(), dtype=float32)","tf.Tensor(-0.001582235, shape=(), dtype=float32)","tf.Tensor(0.21230538, shape=(), dtype=float32)","tf.Tensor(0.9999953, shape=(), dtype=float32)"
"tf.Tensor(0.20775734, shape=(), dtype=float32)","tf.Tensor(-0.0015826332, shape=(), dtype=float32)","tf.Tensor(0.20933996, shape=(), dtype=float32)","tf.Tensor(0.9999955, shape=(), dtype=float32)"
"tf.Tensor(0.2089937, shape=(), dtype=float32)","tf.Tensor(-0.0015819718, shape=(), dtype=float32)","tf.Tensor(0.2105753, shape=(), dtype=float32)","tf.Tensor(0.9999953, shape=(), dtype=float32)"
"tf.Tensor(0.20732002, shape=(), dtype=float32)","tf.Tensor(-0.001581932, shape=(), dtype=float32)","tf.Tensor(0.20890215, shape=(), dtype=float32)","tf.Tensor(0.9999954, shape=(), dtype=float32)"
"tf.Tensor(0.205663, shape=(), dtype=float32)","tf.Tensor(-0.0015834944, shape=(), dtype=float32)","tf.Tensor(0.20724645, shape=(), dtype=float32)","tf.Tensor(0.9999956, shape=(), dtype=float32)"
"tf.Tensor(0.20269926, shape=(), dtype=float32)","tf.Tensor(-0.0015835371, shape=(), dtype=float32)","tf.Tensor(0.20428273, shape=(), dtype=float32)","tf.Tensor(0.9999958, shape=(), dtype=float32)"
"tf.Tensor(0.20344731, shape=(), dtype=float32)","tf.Tensor(-0.0015836713, shape=(), dtype=float32)","tf.Tensor(0.20503096, shape=(), dtype=float32)","tf.Tensor(0.99999577, shape=(), dtype=float32)"
"tf.Tensor(0.20270588, shape=(), dtype=float32)","tf.Tensor(-0.001583662, shape=(), dtype=float32)","tf.Tensor(0.20428924, shape=(), dtype=float32)","tf.Tensor(0.9999959, shape=(), dtype=float32)"
"tf.Tensor(0.20066081, shape=(), dtype=float32)","tf.Tensor(-0.0015840529, shape=(), dtype=float32)","tf.Tensor(0.20224471, shape=(), dtype=float32)","tf.Tensor(0.9999955, shape=(), dtype=float32)"
"tf.Tensor(0.19991694, shape=(), dtype=float32)","tf.Tensor(-0.0015835535, shape=(), dtype=float32)","tf.Tensor(0.20150076, shape=(), dtype=float32)","tf.Tensor(0.9999959, shape=(), dtype=float32)"
"tf.Tensor(0.19903028, shape=(), dtype=float32)","tf.Tensor(-0.001583832, shape=(), dtype=float32)","tf.Tensor(0.20061395, shape=(), dtype=float32)","tf.Tensor(0.99999595, shape=(), dtype=float32)"
"tf.Tensor(0.19838633, shape=(), dtype=float32)","tf.Tensor(-0.0015840882, shape=(), dtype=float32)","tf.Tensor(0.19997032, shape=(), dtype=float32)","tf.Tensor(0.99999595, shape=(), dtype=float32)"
"tf.Tensor(0.19654179, shape=(), dtype=float32)","tf.Tensor(-0.0015845525, shape=(), dtype=float32)","tf.Tensor(0.19812629, shape=(), dtype=float32)","tf.Tensor(0.999996, shape=(), dtype=float32)"
"tf.Tensor(0.19620803, shape=(), dtype=float32)","tf.Tensor(-0.0015846408, shape=(), dtype=float32)","tf.Tensor(0.19779293, shape=(), dtype=float32)","tf.Tensor(0.99999607, shape=(), dtype=float32)"
"tf.Tensor(0.19530714, shape=(), dtype=float32)","tf.Tensor(-0.0015847804, shape=(), dtype=float32)","tf.Tensor(0.19689204, shape=(), dtype=float32)","tf.Tensor(0.9999962, shape=(), dtype=float32)"
"tf.Tensor(0.19536538, shape=(), dtype=float32)","tf.Tensor(-0.0015842703, shape=(), dtype=float32)","tf.Tensor(0.19694917, shape=(), dtype=float32)","tf.Tensor(0.9999958, shape=(), dtype=float32)"
"tf.Tensor(0.19395342, shape=(), dtype=float32)","tf.Tensor(-0.0015843075, shape=(), dtype=float32)","tf.Tensor(0.19553776, shape=(), dtype=float32)","tf.Tensor(0.9999957, shape=(), dtype=float32)"
"tf.Tensor(0.19165042, shape=(), dtype=float32)","tf.Tensor(-0.001586146, shape=(), dtype=float32)","tf.Tensor(0.19323671, shape=(), dtype=float32)","tf.Tensor(0.9999962, shape=(), dtype=float32)"
"tf.Tensor(0.19176506, shape=(), dtype=float32)","tf.Tensor(-0.0015853203, shape=(), dtype=float32)","tf.Tensor(0.19335033, shape=(), dtype=float32)","tf.Tensor(0.9999962, shape=(), dtype=float32)"
"tf.Tensor(0.19220573, shape=(), dtype=float32)","tf.Tensor(-0.0015855704, shape=(), dtype=float32)","tf.Tensor(0.1937911, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
"tf.Tensor(0.1908875, shape=(), dtype=float32)","tf.Tensor(-0.0015858873, shape=(), dtype=float32)","tf.Tensor(0.19247329, shape=(), dtype=float32)","tf.Tensor(0.9999968, shape=(), dtype=float32)"
"tf.Tensor(0.19051771, shape=(), dtype=float32)","tf.Tensor(-0.0015857876, shape=(), dtype=float32)","tf.Tensor(0.19210325, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
"tf.Tensor(0.18982558, shape=(), dtype=float32)","tf.Tensor(-0.0015858543, shape=(), dtype=float32)","tf.Tensor(0.19141154, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
"tf.Tensor(0.1883611, shape=(), dtype=float32)","tf.Tensor(-0.0015856337, shape=(), dtype=float32)","tf.Tensor(0.18994644, shape=(), dtype=float32)","tf.Tensor(0.9999958, shape=(), dtype=float32)"
"tf.Tensor(0.18884729, shape=(), dtype=float32)","tf.Tensor(-0.0015859248, shape=(), dtype=float32)","tf.Tensor(0.19043322, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
"tf.Tensor(0.18820108, shape=(), dtype=float32)","tf.Tensor(-0.0015865265, shape=(), dtype=float32)","tf.Tensor(0.18978791, shape=(), dtype=float32)","tf.Tensor(0.9999966, shape=(), dtype=float32)"
"tf.Tensor(0.1874662, shape=(), dtype=float32)","tf.Tensor(-0.0015871809, shape=(), dtype=float32)","tf.Tensor(0.18905358, shape=(), dtype=float32)","tf.Tensor(0.9999967, shape=(), dtype=float32)"
"tf.Tensor(0.18710369, shape=(), dtype=float32)","tf.Tensor(-0.0015865407, shape=(), dtype=float32)","tf.Tensor(0.1886901, shape=(), dtype=float32)","tf.Tensor(0.99999684, shape=(), dtype=float32)"
"tf.Tensor(0.18723597, shape=(), dtype=float32)","tf.Tensor(-0.001586591, shape=(), dtype=float32)","tf.Tensor(0.18882282, shape=(), dtype=float32)","tf.Tensor(0.99999666, shape=(), dtype=float32)"
"tf.Tensor(0.18591431, shape=(), dtype=float32)","tf.Tensor(-0.0015869809, shape=(), dtype=float32)","tf.Tensor(0.18750116, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
"tf.Tensor(0.18465793, shape=(), dtype=float32)","tf.Tensor(-0.0015877148, shape=(), dtype=float32)","tf.Tensor(0.18624566, shape=(), dtype=float32)","tf.Tensor(0.9999967, shape=(), dtype=float32)"
"tf.Tensor(0.18511988, shape=(), dtype=float32)","tf.Tensor(-0.0015869876, shape=(), dtype=float32)","tf.Tensor(0.18670692, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
"tf.Tensor(0.18464017, shape=(), dtype=float32)","tf.Tensor(-0.0015868427, shape=(), dtype=float32)","tf.Tensor(0.1862271, shape=(), dtype=float32)","tf.Tensor(0.9999965, shape=(), dtype=float32)"
"tf.Tensor(0.1844349, shape=(), dtype=float32)","tf.Tensor(-0.0015873497, shape=(), dtype=float32)","tf.Tensor(0.18602237, shape=(), dtype=float32)","tf.Tensor(0.99999654, shape=(), dtype=float32)"
"tf.Tensor(0.18354802, shape=(), dtype=float32)","tf.Tensor(-0.00158729, shape=(), dtype=float32)","tf.Tensor(0.18513532, shape=(), dtype=float32)","tf.Tensor(0.9999964, shape=(), dtype=float32)"
