g_total,g_hinge,g_l1,d
"tf.Tensor(0.66236407, shape=(), dtype=float32)","tf.Tensor(-0.0015140453, shape=(), dtype=float32)","tf.Tensor(0.663877, shape=(), dtype=float32)","tf.Tensor(0.99996084, shape=(), dtype=float32)"
"tf.Tensor(0.41285825, shape=(), dtype=float32)","tf.Tensor(-0.0015427794, shape=(), dtype=float32)","tf.Tensor(0.41440117, shape=(), dtype=float32)","tf.Tensor(0.99997884, shape=(), dtype=float32)"
"tf.Tensor(0.33126217, shape=(), dtype=float32)","tf.Tensor(-0.0015607092, shape=(), dtype=float32)","tf.Tensor(0.3328229, shape=(), dtype=float32)","tf.Tensor(0.99998736, shape=(), dtype=float32)"
"tf.Tensor(0.29746303, shape=(), dtype=float32)","tf.Tensor(-0.0015634209, shape=(), dtype=float32)","tf.Tensor(0.29902637, shape=(), dtype=float32)","tf.Tensor(0.99998856, shape=(), dtype=float32)"
"tf.Tensor(0.2798025, shape=(), dtype=float32)","tf.Tensor(-0.0015668023, shape=(), dtype=float32)","tf.Tensor(0.28136894, shape=(), dtype=float32)","tf.Tensor(0.99999017, shape=(), dtype=float32)"
"tf.Tensor(0.2677624, shape=(), dtype=float32)","tf.Tensor(-0.0015694087, shape=(), dtype=float32)","tf.Tensor(0.26933214, shape=(), dtype=float32)","tf.Tensor(0.99999046, shape=(), dtype=float32)"
"tf.Tensor(0.25922573, shape=(), dtype=float32)","tf.Tensor(-0.0015713972, shape=(), dtype=float32)","tf.Tensor(0.26079723, shape=(), dtype=float32)","tf.Tensor(0.99999094, shape=(), dtype=float32)"
"tf.Tensor(0.25363645, shape=(), dtype=float32)","tf.Tensor(-0.0015731555, shape=(), dtype=float32)","tf.Tensor(0.25520962, shape=(), dtype=float32)","tf.Tensor(0.99999255, shape=(), dtype=float32)"
"tf.Tensor(0.24788605, shape=(), dtype=float32)","tf.Tensor(-0.0015741044, shape=(), dtype=float32)","tf.Tensor(0.24946065, shape=(), dtype=float32)","tf.Tensor(0.99999285, shape=(), dtype=float32)"
"tf.Tensor(0.24462853, shape=(), dtype=float32)","tf.Tensor(-0.0015747763, shape=(), dtype=float32)","tf.Tensor(0.24620298, shape=(), dtype=float32)","tf.Tensor(0.9999927, shape=(), dtype=float32)"
"tf.Tensor(0.24018516, shape=(), dtype=float32)","tf.Tensor(-0.0015754143, shape=(), dtype=float32)","tf.Tensor(0.24176066, shape=(), dtype=float32)","tf.Tensor(0.9999932, shape=(), dtype=float32)"
"tf.Tensor(0.23858282, shape=(), dtype=float32)","tf.Tensor(-0.001575483, shape=(), dtype=float32)","tf.Tensor(0.2401583, shape=(), dtype=float32)","tf.Tensor(0.99999315, shape=(), dtype=float32)"
"tf.Tensor(0.23446137, shape=(), dtype=float32)","tf.Tensor(-0.0015769255, shape=(), dtype=float32)","tf.Tensor(0.23603846, shape=(), dtype=float32)","tf.Tensor(0.99999326, shape=(), dtype=float32)"
"tf.Tensor(0.23114154, shape=(), dtype=float32)","tf.Tensor(-0.0015775436, shape=(), dtype=float32)","tf.Tensor(0.232719, shape=(), dtype=float32)","tf.Tensor(0.999994, shape=(), dtype=float32)"
